Name	Popularity	Year
LOVE. FEAT. ZACARI.	80.0	2017.0
Save That Shit	80.0	2017.0
DNA.	79.0	2017.0
Look At Me!	79.0	2017.0
Kraazy	78.0	2017.0
Bad and Boujee (feat. Lil Uzi Vert)	77.0	2017.0
Crew (feat. Brent Faiyaz & Shy Glizzy)	76.0	2017.0
goosebumps	86.0	2016.0
Closer (feat. Halsey)	85.0	2016.0
Don't Let Me Down	81.0	2016.0
This Is What You Came For	79.0	2016.0
Work from Home (feat. Ty Dolla $ign)	78.0	2016.0
Broken	77.0	2016.0
Chill Bill (feat. J. Davi$ & Spooks)	77.0	2016.0
Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)	77.0	2016.0
Money Longer	76.0	2016.0
No Problem (feat. Lil Wayne & 2 Chainz)	74.0	2016.0
No Role Modelz	82.0	2014.0
Hot N*gga	74.0	2014.0
I Mean It (feat. Remo)	74.0	2014.0
Collard Greens	72.0	2014.0
You & Me - Flume Remix	72.0	2014.0
7/11	71.0	2014.0
Trophies	71.0	2014.0
Post to Be (feat. Chris Brown & Jhene Aiko)	70.0	2014.0
Si Te Vienen a Contar	70.0	2014.0
Lifestyle	69.0	2014.0
Wild Ones (feat. Sia)	76.0	2012.0
Starships	73.0	2012.0
Jeremías 17-5	68.0	2012.0
Poetic Justice	68.0	2012.0
Backseat Freestyle	67.0	2012.0
Ayy Ladies	66.0	2012.0
Play Hard (feat. Ne-Yo & Akon)	66.0	2012.0
m.A.A.d city	66.0	2012.0
Love Sosa	64.0	2012.0
Party We Will Throw Now!	64.0	2012.0
Don't	80.0	2015.0
Exchange	79.0	2015.0
Antidote	77.0	2015.0
Kill Yourself (Part III)	77.0	2015.0
Weekend (feat. Miguel)	77.0	2015.0
Come Get Her	76.0	2015.0
679 (feat. Remy Boyz)	75.0	2015.0
Bitch Better Have My Money	75.0	2015.0
Paris	75.0	2015.0
Adventure of a Lifetime	74.0	2015.0
Black Skinhead	75.0	2013.0
Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)	71.0	2013.0
DJ Turn It Up	69.0	2013.0
23	68.0	2013.0
